alim_nom_fr;Energie (kcal/100 g);Proteines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Loup tachete, cru;108;16,3;traces;4,8
Sprat, cru;186;19,8;traces;11,9
Turbot, cru;85,5;17,9;traces;1,55
Coregone lavaret, cru;115;20,5;traces;3,72
Merou, cru;82,3;18,6;traces;0,86
Lingue bleue ou Lingue, crue;79,6;18,9;traces;0,44
Sole tropicale ou Sole langue, crue;68,2;15,7;traces;0,58
Turbot d'elevage, cru;109;18,3;traces;3,94
Bar commun ou loup (Mediterranee), cru, sauvage;97,9;20,1;traces;1,94
Bar commun ou loup (Mediterranee), cru, elevage;124;21,4;traces;4,25
Baudroie rousse ou Lotte, crue;70,2;16,7;traces;0,37
Sebaste du nord, ou grand sebaste, ou dorade sebaste, ou daurade sebaste, crue;89,5;18,8;traces;1,6
Hoki, tout lieu de peche, cru;92,3;17,8;traces;2,36
Grenadier bleu ou hoki de Nouvelle-Zelande, cru;75,5;15,6;traces;1,46
Grondin perlon, cru;97,4;20,3;traces;1,79
Merlu blanc du Cap, surgele, cru;78;16,1;traces;1,52
Chinchard maigre, cru;96,7;18,7;traces;2,42
Chinchard gras, cru;147;19,6;traces;7,66
Hareng maigre, cru;111;18,3;traces;4,22
Hareng gras, cru;172;18,7;traces;10,8
Joels (petits poissons entiers) pour friture, crus;88,9;17,5;traces;2,1
Empereur, filet, sans peau, cru;73,5;15;traces;1,5
Rouget-barbet, filet avec peau, surgele, cru (Thaelande, Senegale);96,7;16,3;traces;3,5
Carpe, crue, elevage;114;17,7;traces;4,76
Truite d'elevage, crue;133;19,3;traces;6,22
Truite arc en ciel, crue, elevage;132;19;traces;6,24
Perche, crue;82,2;17,9;traces;1,19
Brochet, cru;83,7;18,8;traces;0,94
Esturgeon, cru;123;17,7;traces;5,84
Anguille, crue;232;16,1;traces;18,6
Pangasius ou Poisson-chat, cru;65,2;13,5;traces;1,27
Tilapia, cru;91,6;18,1;traces;2,13
Truite saumonee, crue;143;19,2;traces;7,4
Lotte de riviere, crue;77;17,8;traces;0,66
Sandre, cru;82,9;18,3;traces;1,08
Perche du Nil, crue;82,4;19,1;traces;0,68
Coquille Saint-Jacques, noix et corail, cuite;110;20,2;3,22;1,77
Crevette grise, cuite;89,9;18,3;1,47;1,2
Crevette, cuite;93,8;19;1,87;1,16
Homard, bouilli/cuit e l'eau;90,9;19,6;0,11;1,32
Moule, bouillie/cuite e l'eau;108;17,2;5,12;2,09
Bulot ou Buccin, cuit;97,7;20,7;2,69;0,47
Langouste, bouillie/cuite e l'eau;106;21,8;1,3;1,52
Crabe ou Tourteau, bouilli/cuit e l'eau;124;19,5;1,79;4,29
Clam, Praire ou Palourde, bouilli/cuit e l'eau;99,2;16,2;5,33;1,48
ecrevisse, cuite;73,5;16,3;0,56;0,7
Calmar ou calamar ou encornet, bouilli/cuit e l'eau;149;32,5;1,64;1,4
Fruits de mer (aliment moyen);104;18,9;3,06;1,76
Poulpe, cuit;156;29,8;4,4;2,08
Fruits de mer, cuits, surgeles;79,5;13,5;2,83;1,57
Calmar ou calamar ou encornet, frit ou poele avec matiere grasse;173;17,9;8,45;7,48
Escargot, sans matiere grasse ajoutee, cuit;80;16,6;0,23;1,4
Calmar ou calamar ou encornet, cru;77;14,4;2,17;1,19
Coquille Saint-Jacques, noix et corail, crue;83;17;0,78;1,31
Escargot, cru;77,9;16,1;1,29;0,92
Homard, cru;85,5;17,9;0,94;1,15
Huetre, sans precision, crue;67,2;8,64;3,86;1,91
Moule commune, crue;71,8;11,2;2,69;1,82
Langouste, crue;86,9;17,7;1,07;1,34
Seiche, crue;76,3;16,2;0,51;1,05
Clam, Praire ou Palourde, cru;80,5;11,5;2,66;2,65
Poulpe, cru;60,1;12,9;0,97;0,5
Bulot ou Buccin, cru;131;23,8;7,61;0,57
Crevette, crue;99;19,7;3,21;0,84
Langoustine, crue;89,8;19,1;1,53;0,79
Moule de Mediterranee, crue;68,7;10,7;2,77;1,67
ecrevisse, crue;68,3;14,8;0,81;0,64
Huetre creuse, crue;67,2;8,64;3,86;1,91
Huetre plate, crue;53,5;10,2;1,16;0,9
Crevette, surgelee, crue;105;23,4;0,74;0,9
Crabe, cru;104;19,5;0,027;2,86
Ormeau, cru;99,6;14,4;8,69;0,83
Coquille Saint-Jacques, noix, crue;83,6;17,9;1,15;0,84
Pecten d'Amerique ou Peigne du canada, noix, crue;81,3;17,3;1,78;0,54
Petoncle ou Peigne du Perou, noix, crue;88,7;17,5;3,1;0,7
Crevette rose, crue;92,3;21,9;0;0,53
Grenouille, cuisse, crue;70;16,2;0,66;0,28
Rillettes de crabe, preemballees;192;12,2;3,5;13,6
Rillettes de poisson, preemballees;243;13,9;0,3;20,7
Rillettes de saumon, preemballees;237;15,1;2;18,4
Rillettes de thon, preemballees;199;16,4;1,65;13,8
Rillettes de maquereau, preemballees;246;11;1;22
Terrine de poisson, preemballee;171;11;5,5;11,4
Terrine de fruits de mer, avec ou sans poisson, preemballee;188;8,4;6,5;14
Tarama, preemballe;534;6,75;3,19;54,8
Calmar ou Calamar ou encornet, e la romaine (beignet);252;8,69;21,2;14,4
Crabe, miettes et ou pattes decortiquees, appertise, egoutte;111;14,8;8,72;1,8
Langoustine, panee, frite;282;10,9;29;13,6
Beignet de crevette;222;6,5;26;10
Moule, appertisee, egouttee;102;14,6;5,93;2,2
Escargot en sauce au beurre persille, preemballe, cuit;277;12,9;2,26;23,7
Moules e la sauce catalane ou escabeche (tomate), appertisee, egouttee;145;12,5;5;7,9
Accra de poisson;275;12,4;15,1;17,6
Carpaccio de saumon avec marinade;194;19,8;0,22;12,7
Maquereau, filet grille, appertise, nature, egoutte;246;19,7;0,55;18,3
Anchois, filets roules aux cepres, semi-conserve, egoutte;198;24,8;1,48;10,3
Anchois, filets e l'huile, semi-conserve, egoutte;182;26,4;< 0,2;8,45
Carrelet ou plie, pane, frit;242;13,4;8,86;16,8
Oeufs de lompe, semi-conserve;111;10,4;1;7,27
Caviar, semi-conserve;254;25;traces;17,1
Hareng marine ou rollmops;211;13,7;8;13,8
Limande-sole, panee, frite;206;16,7;11,9;10,2
Pilchard, sauce tomate, appertise, egoutte;167;13;3,99;11
Poisson, croquette ou beignet ou nuggets, frit;255;13,2;18,4;13,7
Poisson pane, surgele, cru;162;11;16,1;5,73
Poisson pane, frit;193;11,9;13,4;10
Sardine, e l'huile, appertisee, egouttee;207;24,4;0,49;12
Sardine, sauce tomate, appertisee, egouttee;193;20,2;1,38;11,6
Thon, au naturel, appertise, egoutte;111;26,8;0;0,4
Sardine, e l'huile d'olive, appertisee, egouttee;202;24,3;1,06;11,2
Surimi, betonnets, tranche ou repe saveur crabe;125;8,31;11,8;4,92
Oeufs de cabillaud, fumes, semi-conserve;146;26,9;0,1;4,2
Thon germon ou thon blanc, cuit e la vapeur sous pression;165;30;0;5,06
Maquereau, filet sauce tomate, appertise, egoutte;227;17,7;1,94;16,3
Maquereau, filet sauce moutarde, appertise, egoutte;217;20,8;1,09;14,2
Maquereau, filet au vin blanc, appertise, egoutte;207;17,8;2,25;14,1
Saumon, appertise, egoutte;180;20,5;1,5;10,2
Maquereau, au naturel, appertise, egoutte;189;21,6;0;11,4
Merlan, pane;190;12,6;13;9,57
Foie de morue, appertise, egoutte;433;7,25;1,1;44,4
Anchois au sel (anchoite, semi-conserve);128;25;0;3,1
Thon germon ou thon blanc, e l'huile d'olive, appertise, egoutte;192;31,3;1,01;6,95
Thon e l'huile de tournesol, entier, appertise, egoutte;206;23,3;0,76;12,2
Thon albacore ou thon jaune, au naturel, appertise, egoutte;128;26,6;0,58;1,98
Maquereau, marine;185;16,3;traces;13,3
Anchois commun, marine, preemballe;136;23,9;2,7;3,26
Sardine, filets sans aretes e l'huile d'olive, appertises, egouttes;213;21,5;0,62;13,9
Surimi, fourre au fromage;149;6,6;9,24;9,3
Thon e la tomate, miettes, appertisees, egouttees;130;14,6;4,33;5,93
Thon, e la catalane ou e l'escabeche (sauce tomate), appertise;142;10,8;5,05;8,6
Thon e l'huile de tournesol, miettes, appertisees, egouttees;227;23,4;0;14,8
Oeufs de saumon, semi-conserve;224;30,8;1,5;10,5
Oeuf, blanc (blanc d'oeuf), cuit;47,3;10,3;1,12;0,17
Oeuf, jaune (jaune d'oeuf), cuit;340;16;1,31;30,1
Oeuf, dur;134;13,5;0,52;8,62
Oeuf, poche;138;12,5;0,71;9,47
Oeuf, e la coque;142;12,2;1,08;9,82
Oeuf, au plat, frit, sale;204;14,3;0,74;16
Oeuf, brouille, avec matiere grasse;145;9,99;1,62;11
Oeuf, au plat, sans matiere grasse;147;13,8;1,01;9,72
Oeuf, cru;140;12,7;0,27;9,83
Oeuf, blanc (blanc d'oeuf), cru;48,1;10,8;0,85;0,19
Oeuf, jaune (jaune d'oeuf), cru;307;15,5;1,09;26,7
Oeuf de caille, cru;154;13,1;0,41;11,1
Oeuf de cane, cru;181;13;1,31;13,8
Oeuf d'oie, cru;180;13,8;1,4;13,3
Oeuf de dinde, cru;166;13,7;1,13;11,9
Oeuf, jaune (jaune d'oeuf), en poudre;660;34,1;2,77;57
Oeuf, blanc (blanc d'oeuf), en poudre;356;81,2;7,73;0
Oeuf, en poudre;582;47,9;3,11;42
Omelette au fromage;255;17,7;2,56;19,3
Omelette aux lardons;267;12,5;1,46;23,5
Omelette aux champignons;125;8,09;2,28;9,2
Omelette aux fines herbes;147;9,5;1,98;11,2
Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), preemballee;165;5,56;11,7;9,9
Omelette, garnitures diverses : legumes, fromages, viandes,,, (aliment moyen);184;9,82;5,07;13,5
Proteine de soja texturee, rehydratee;150;18,6;7,03;2,9
Tofu nature, preemballe;148;13,4;2,87;8,5
Tofu fume, preemballe;164;14,9;2,91;9,5
Bouchees ou emince vegetal au soja et ble (convient aux veganes ou vegetaliens), preemballe;157;19,5;6,76;3,7
Bouchees ou emince au soja et ble  (ne convient pas aux veganes ou vegetaliens), preemballe;185;17,6;8,19;7
Seitan, preemballe;134;20,6;6,74;2,5
Lait entier, UHT;65,1;3,32;4,85;3,63
Lait entier, pasteurise;56,5;3,3;3,47;3,3
Lait demi-ecreme, UHT, enrichi en vitamine D seulement;46,6;3,38;4,8;1,52
Lait e 1,2% de matiere grasse, UHT, enrichi en plusieurs vitamines;44,1;3,38;4,79;1,25
Lait, teneur en matiere grasse inconnue, UHT (aliment moyen);47,3;3,38;4,82;1,59
Lait demi-ecreme, UHT;47;3,38;4,83;1,55
Lait demi-ecreme, pasteurise;46,4;3,19;4,9;1,54
Lait ecreme, UHT;33,4;3,51;4,64;0,06
Lait ecreme, pasteurise;34,5;3,28;4,99;0,19
Lait demi-ecreme (ou e teneur en matiere grasse legerement inferieure) e teneur reduite en lactose;44,4;3,45;4,69;1,29
Lait de chevre, entier, UHT;56,1;3,39;4,35;2,83
Lait de chevre, demi-ecreme, UHT;45,8;3,77;4,13;1,57
Lait de chevre, entier, cru;57,4;3,22;4,01;3,2
Lait de jument, entier;50;2,41;6,18;1,73
Lait de brebis, entier;103;5,68;4,5;6,97
Lait en poudre, entier;499;27,4;37,5;26,8
Lait concentre non sucre, entier;122;6,44;9,91;5,9
Lait concentre sucre, entier;323;7,7;55,6;7,87
Lait en poudre, demi-ecreme;459;31,5;43,4;17,5
Lait en poudre, ecreme;361;35,3;54;0,7
Boisson lactee, lait fermente ou yaourt e boire, aromatise, sucre;73,7;2,98;11,6;1,4
Boisson lactee, lait fermente ou yaourt e boire, aux fruits, sucre;82,8;3,09;13,1;1,69
Lait fermente ou specialite laitiere type yaourt, aromatise, sucre, au bifidus;94,4;3,83;11,5;3,1
Lait fermente ou specialite laitiere type yaourt, aux fruits, sucre, au bifidus;97,2;3,57;13;3,01
Lait fermente ou specialite laitiere type yaourt, nature, au bifidus;64,5;3,84;3,47;3,6
Yaourt e la grecque, au lait de brebis;69,1;3,84;4,99;3,4
Yaourt au lait de brebis, aromatise, sucre;93,7;5,04;9,33;3,7
Yaourt au lait de chevre, nature, 5% MG environ;73,4;4,15;1,12;5,2
Yaourt, lait fermente ou specialite laitiere, aromatise, avec edulcorants, 0% MG;54,5;4,53;8,29;0,06
Yaourt, lait fermente ou specialite laitiere, aromatise, sucre;89,1;3,42;12,2;2,6
Yaourt, lait fermente ou specialite laitiere, aux copeaux de chocolat, e la creme, sucre;122;3,51;14,1;5,1
Yaourt, lait fermente ou specialite laitiere, aux fruits, avec edulcorants, 0% MG;38,9;4,21;3,72;< 0,3
Yaourt, lait fermente ou specialite laitiere, aux fruits, sucre;95,7;3,61;14,2;2,4
Yaourt, lait fermente ou specialite laitiere, aux fruits, sucre, e la creme;109;2,42;14,5;4,28
Yaourt, lait fermente ou specialite laitiere, nature;45,5;3,96;2,65;1,5
Yaourt, lait fermente ou specialite laitiere, nature, 0% MG;39,4;4,82;4,1;0,064
Yaourt, lait fermente ou specialite laitiere, nature, e la creme;115;3,06;3,08;9,8
Yaourt, lait fermente ou specialite laitiere, nature, sucre;84,3;3,48;12,5;1,95
Yaourt ou specialite laitiere nature (aliment moyen);56,8;3,88;4,73;2,3
Yaourt ou specialite laitiere nature ou aux fruits (aliment moyen);69,4;3,65;7,47;2,5
Yaourt ou specialite laitiere aux fruits (aliment moyen);93,1;3,2;12,8;2,89
Specialite laitiere type encas, riche en proteines, sur lit de fruits, sucree;98,3;7,46;11,5;2,29
Yaourt, lait fermente ou specialite laitiere, aromatise ou aux fruits, 0% MG (aliment moyen);42,4;4,29;4,92;0,13
Yaourt, lait fermente ou specialite laitiere, aromatise ou aux fruits, non allege en MG (aliment moyen);93,2;3,24;12,9;2,81
Yaourt, lait fermente ou specialite laitiere, aromatise ou aux fruits, avec edulcorants (aliment moyen);42,4;4,29;4,92;0,13
Yaourt, lait fermente ou specialite laitiere, aromatise ou aux fruits, sucre (aliment moyen);93,3;3,24;13;2,83
Yaourt, lait fermente ou specialite laitiere, aromatise ou aux fruits, sucre, non allege en MG (aliment moyen);93,2;3,24;13;2,83
Yaourt, lait fermente ou specialite laitiere, aromatise ou aux fruits (aliment moyen);89,3;3,32;12,4;2,63
Lait fermente e boire, nature, maigre;33,6;3,51;2,18;0,6
Lait fermente e boire, nature, au lait entier;55,7;3,38;1,99;3,2
Fromage blanc nature ou aux fruits (aliment moyen);87,7;7,1;5,68;4,31
Faisselle, 6% MG environ;84,2;4,47;3,57;5,5
Fromage blanc nature, 0% MG;49,4;7,95;3,89;0,044
Fromage blanc nature, 3% MG environ;76,9;8,03;3,46;3,26
Fromage blanc nature, gourmand, 8% MG environ;116;6,19;5,25;7,65
Fromage frais type petit suisse, aux fruits, 2-3% MG;92,7;6,7;9,34;2,8
Fromage frais type petit suisse, nature, 4% MG environ;88,8;9,95;2,84;4
Fromage frais type petit suisse, nature, 10% MG environ;149;9,7;3,17;10,4
Fromage frais type petit suisse, aromatise ou aux fruits, 2-3% MG, enrichi en calcium et vitamine D;90,4;5,74;10,2;2,5
Creme dessert, allegee en MG, rayon frais;79,2;3,64;12,4;1,3
Flan aux oeufs, rayon frais;111;4,08;18,5;2,2
Lait gelifie aromatise, nappe caramel, rayon frais;91,9;2,55;16,7;1,3
Panna cotta, avec preparations de fruits ou caramel, rayon frais;198;2,74;14,9;13
Gateau de semoule aux raisins et caramel, rayon frais;146;3,81;24,8;3,4
Gateau de riz au caramel, rayon frais;143;3,19;25,4;3,1
Milk-shake, provenant de fast food;126;3,38;17,4;4,66
Creme dessert au chocolat, rayon frais;130;3,39;19,9;3,93
Mousse au chocolat (base laitiere), rayon frais;150;5,42;21,3;4,4
Creme caramel, rayon frais;132;4,45;20,6;3,6
Creme aux oeufs (petit pot de creme chocolat, vanille, etc,), rayon frais;176;4,32;19,4;8,88
Riz au lait, rayon frais;126;3,34;21,4;3,01
Creme brelee, rayon frais;272;4,46;16,6;20,8
Creme dessert e la vanille, appertisee;132;3,7;21,1;3,62
Ile flottante, rayon frais;129;4,98;19,8;3,31
Semoule au lait, rayon frais;121;3,46;19,4;3,23
Mousse aux fruits, rayon frais;53,1;6,25;5,51;< 0,3
Creme dessert e la vanille, rayon frais;105;3,06;14,4;3,6
Creme dessert, rayon frais (aliment moyen);133;3,42;17,9;5,1
Mousse liegeoise (chocolat, cafe, caramel ou vanille), rayon frais;186;3,62;20;10,1
Creme dessert au cafe, rayon frais;116;2,93;17,8;3,69
Creme dessert au caramel, rayon frais;117;2,92;18,6;3,47
Creme dessert, appertisee (aliment moyen);135;3,49;21,4;3,52
Creme dessert au chocolat, appertisee;138;3,25;21,8;3,42
Creme dessert, rayon frais ou appertisee (aliment moyen);133;3,42;18;5,07
Cheesecake ou Gateau au fromage frais, preemballe;330;4,57;31,7;20,3
Tiramisu, preemballe;241;4,25;30,4;9,8
Mousse e la creme de marrons, preemballee;207;2,17;34,4;6,5
Profiteroles (creme petissiere et sauce chocolat), preemballees;273;5,51;34,3;12,2
Gateau de semoule, appertise;150;2,85;27,4;3,03
Mousse au chocolat traditionnelle, preemballee;303;6,52;25,6;18,6
Clafoutis aux fruits, preemballe;192;5,22;27,2;6,51
Liegeois aux fruits, preemballe;147;1,5;16;8,1
Gateau de riz, appertise;115;4,29;20;1,9
Gateau au chocolat, coeur fondant, preemballe (rayon frais);364;6,86;41,9;18,1
Pain perdu;218;6;29;8,45
Lait de poule, sans alcool;87,8;4,55;8,05;4,19
Creme petissiere;120;3,79;18;3,6
Dessert au soja, aux fruits, sucre, enrichi en calcium, fermente, preemballe;86,7;2,74;12,9;2,3
Dessert au soja, nature, non sucre, non enrichi, fermente, preemballe;44,7;3,76;2,05;1,9
Dessert au soja, nature, non sucre, enrichi en calcium, fermente, preemballe;42;3,59;1,1;2,1
Dessert au soja, aux fruits, sucre, non enrichi, fermente, preemballe;78;3,31;11;1,7
Dessert au soja, aux amandes, fermente, preemballe;56;3,65;2,85;2,8
Dessert au soja, aromatise, sucre, enrichi en calcium, preemballe;95;3,25;15,3;1,9
Dessert au soja, aromatise, sucre, non enrichi, preemballe;93,1;2,74;16;1,7
Dessert vegetal sans soja (amande, avoine, chanvre, coco, riz), aromatise, sucre, non enrichi, preemballe;148;1,66;15,8;8
Dessert vegetal sans soja (coco, riz), aux fruits, sucre, enrichi en calcium, fermente, preemballe;76,6;< 0,42;16;1
Mousse au chocolat vegetale, preemballee;262;6,69;24,3;14
Fromage (aliment moyen);338;21,8;0,56;27,4
Camembert, sans precision;280;19,5;traces;22,5
Fromage e pete molle et croete fleurie (type camembert);359;17,5;traces;32,3
Camembert au lait cru;267;20,7;traces;20,3
Fromage e pete molle et croete fleurie double creme environ 30% MG;333;17,5;traces;29,4
Fromage rond e pete molle et croete fleurie 5 e 11% MG type camembert allege en matiere grasse;173;22,6;traces;9,3
Coulommiers;279;18,8;traces;22,8
Fromage rond e pete molle et croete fleurie environ 11% MG type coulommiers allege en matiere grasse;187;22,5;traces;11
Fromage rond e pete molle et croete fleurie environ 5% MG type camembert allege en matiere grasse;150;25,7;traces;5,5
Brie, sans precision;297;17,3;traces;25,5
Brie de Meaux;271;21,4;traces;20,7
Brie de Melun;288;22;traces;22,2
Carre de l'Est;327;21,4;traces;27
Chaource;276;17,3;traces;22,9
Maroilles laitier;338;22,3;traces;27,8
Maroilles fermier;349;21,2;traces;29,5
Neufchetel;287;18,5;traces;23,9
Fromage e pete molle triple creme environ 40% MG;376;9,89;traces;37,5
Fromage e pete molle et croete lavee (aliment moyen);320;20,6;0;26,5
Fromage e pete molle et croete lavee, allege environ 13% MG;198;21,6;traces;12,6
Maroilles, sans precision;325;21,9;traces;26,4
Livarot;301;24,6;traces;22,6
epoisses;290;17,8;traces;24,5
Munster;344;21,2;traces;29
Langres;281;16,7;traces;23,8
Pont l'eveque;326;22,7;traces;26,2
Reblochon;326;20,4;traces;27,4
Fromage e pete molle e croete lavee, au lait pasteurise (type Vieux Pane);311;20,3;traces;25,7
Saint-Marcellin;280;15,1;traces;24,3
Fromage e pete molle et croete mixte (lavee et fleurie) coloree;332;18,2;traces;29
Mont d'or ou Vacherin du Haut-Doubs (produit en France) ou Vacherin-Mont d'Or (produit en Suisse);302;18,9;traces;25,4
Saint-Felicien;281;13,4;traces;25,2
Boulette d'Avesne;355;20,9;traces;30
Fromage de chevre lactique affine, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine);324;20,7;traces;27
Fromage de chevre lactique affine, au lait pasteurise (type bechette ou crottin);300;19,8;traces;24,7
Fromage de chevre lactique affine (type bechette, crottin, Sainte-Maure);315;20,4;traces;26,2
Sainte-Maure de Touraine (fromage de chevre);294;19,6;traces;24,2
Fromage de chevre demi-sec;353;21,6;traces;29,8
Fromage de chevre beche;285;18,8;traces;23,3
Fromage de chevre beche, allege en matiere grasse;179;22,6;traces;10
Fromage de chevre e pete molle non pressee non cuite croete naturelle, au lait pasteurise;279;19,3;traces;22,6
Fromage de chevre sec;440;30,5;traces;35,6
Fromage de chevre e pete molle et croete fleurie type camembert;292;19,9;traces;23,8
Fromage de brebis e pete molle et croete fleurie;276;16,8;traces;23,3
Chabichou (fromage de chevre);294;20,5;traces;23,8
Pelardon (fromage de chevre);343;23,8;traces;27,8
Crottin de chevre, au lait cru;384;23,2;traces;32,6
Crottin de chevre, sans precision;340;22,4;traces;28
Crottin de Chavignol (fromage de chevre);296;19,7;traces;24,4
Picodon (fromage de chevre);315;20,7;traces;26
Pouligny Saint-Pierre (fromage de chevre);294;18,9;traces;24,5
Sainte-Maure (fromage de chevre);357;22,1;traces;30
Selles-sur-Cher (fromage de chevre);291;19,2;traces;23,9
Chevrot (fromage de chevre);277;18,5;traces;22,8
Rocamadour (fromage de chevre);274;17,9;traces;22,6
Valeneay (fromage de chevre);306;19,3;traces;25,5
Roquefort;384;19,5;traces;33,9
Fourme de Montbrison;365;22,5;traces;30,8
Fromage bleu au lait de vache;333;19,9;traces;28,3
Fromage bleu d'Auvergne;343;22,4;traces;28,4
Fourme d'Ambert;326;19,9;traces;27,6
Fromage bleu des Causses;350;20,4;traces;30
Gorgonzola;312;19;traces;26,4
Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC);364;22,5;traces;30,7
Fromage bleu de Bresse;342;17,4;traces;30,5
Fromage bleu de Bresse allege environ 15% MG;246;27,1;traces;15,5
Fromage e pete pressee cuite (aliment moyen);390;28;0;30,8
Beaufort;410;26,5;traces;34
Comte;418;27,2;traces;34,6
Abondance;393;27,1;traces;31,6
Gruyere IGP France;396;27,3;traces;32
Gruyere;423;28,4;traces;34,6
Emmental ou emmenthal;373;27,9;traces;28,8
Fromage e pate pressee cuite type emmental ou emmenthal, allege en matiere grasse;282;30,6;traces;18
Emmental ou emmenthal repe;367;28,1;traces;28,6
Ossau-Iraty;428;24,2;traces;37
Parmesan;406;31,1;traces;31
Fontina;381;25,6;traces;31,1
Grana Padano;396;34,1;traces;29,2
Fromage e pete ferme environ 14% MG type Masdaam e teneur reduite en MG;238;29;traces;13,8
Provolone;340;25,6;traces;26,6
Fromage e pete ferme, enrobe de cire;303;21,7;traces;23,7
Cantal entre-deux;383;26,6;traces;30,5
Cantal, Salers ou Laguiole;378;25,3;traces;31
Salers;388;25,9;traces;31,4
Cheddar;399;24;traces;33,8
Edam;329;25,5;traces;25,5
Mimolette jeune;331;28,9;traces;24,2
Gouda;374;23,2;traces;31,5
Mimolette demi-vieille;365;31,5;traces;26,9
Mimolette vieille;397;34;traces;28,8
Mimolette, sans precision;308;24,9;traces;23,4
Fromage e pete ferme environ 27% MG type Maasdam;359;25,5;traces;28,4
Mimolette extra-vieille;387;33,9;traces;28,2
Morbier;355;22,8;traces;29,2
Fromage de brebis des Pyrenees;397;24,1;traces;33,6
Saint-Nectaire, laitier;332;22,8;traces;27
Raclette (fromage);342;23,4;traces;27,5
Saint-Nectaire, fermier;355;22,3;traces;29,8
Saint-Nectaire, sans precision;344;22,5;traces;28,4
Saint-Paulin (fromage e pete pressee non cuite demi-ferme);327;22,3;traces;26,4
Tomme ou tome de vache;350;21,6;traces;29,4
Tomme ou tome de montagne ou de Savoie;364;25,6;traces;29,1
Tomme ou tome, allegee en matiere grasse, environ 13% MG;231;31;traces;12,1
Asiago;356;32,1;traces;25,6
Fromage de brebis Corse e pete molle;457;28,5;traces;38,4
Tome des Bauges;381;26,6;traces;30,8
Fromage de brebis e pete pressee;384;23,9;traces;32,3
Fromage de lactoserum de brebis;190;10,1;4,3;14,8
Fromage fondu en tranchettes;246;14,1;5,34;18,5
Fromage fondu en portions ou en cubes environ 20% MG;242;10,7;6,38;19,3
Fromage fondu double creme, environ 31% MG;311;9,06;1,78;29,6
Cancoillotte (specialite fromagere fondue);151;13,8;0,5;10,5
Fromage type feta, au lait de vache;270;16,4;1,42;21,7
Fromage type feta, au lait de vache, e l'huile et aux aromates;283;17,6;0,16;23,4
Feta AOP;285;15,1;0,65;24,3
Specialite fromagere non affinee environ 25% MG, type fromage en barquette e tartiner ou coque fromagere;255;5,36;4,24;23,9
Specialite fromagere non affinee e tartiner environ 30-40 % MG aromatisee (ex: ail et fines herbes);366;7,66;4,24;35,3
Mozzarella au lait de vache;227;16,5;0,75;17,7
"Mozzarella au lait de bufflonne ou buflesse (""di bufala"")";260;14,5;0,24;22,3
Specialite vegetale type fromage e tartiner, au soja, preemballee;175;11,7;1,05;13,1
Specialite vegetale type fromage, e la noix de cajou, preemballee;441;14,5;15,2;35,3
Specialite vegetale type fromage en tranche ou repe, sans soja, preemballee;272;< 0,5;21,2;20,1
Creme de lait ou specialite e base de creme legere, teneur en matiere grasse inconnue (aliment moyen);269;2,88;2,87;26
Creme de lait, 30% MG, epaisse, rayon frais;304;3;2,8;30,7
Creme de lait, 30% MG, semi-epaisse, UHT;297;2,49;1,94;30,7
Creme chantilly, sous pression, UHT;308;2,11;10,6;28,2
Creme de lait, 15 e 20% MG, legere, semi-epaisse, UHT;194;2,62;2,89;18,7
Creme de lait, 15 e 20% MG, legere, epaisse, rayon frais;166;2,81;3;15,3
Specialite e base de creme legere 8% MG, fluide ou epaisse;76,2;3,25;5,28;4,3
Eau de source, embouteillee (aliment moyen);0;0;0;0
Eau minerale, embouteillee, faiblement mineralisee (aliment moyen);0;0;0;0
Eau minerale (aliment moyen);0;0;0;0
Eau minerale, plate (aliment moyen);0;0;0;0
Eau minerale, gazeuse (aliment moyen);0;0;0;0
Eau du robinet;0;0;0;0
Eau embouteillee de source;0;0;0;0
Eau minerale Abatilles, embouteillee, non gazeuse, faiblement mineralisee (Arcachon, 33);0;0;0;0
Eau minerale Aix-les-Bains, embouteillee, non gazeuse, faiblement mineralisee (Aix-les-Bains, 73);0;0;0;0
Eau minerale Aizac, embouteillee, gazeuse, faiblement mineralisee (Aizac, 07);0;0;0;0
Eau minerale Amanda, embouteillee, non gazeuse, fortement mineralisee (St-Amand, 59);0;0;0;0
Eau minerale Arcens, embouteillee, gazeuse, moyennement mineralisee (Arcens, 07);0;0;0;0
Eau minerale Ardesy, embouteillee, gazeuse, fortement mineralisee (Ardes, 63);0;0;0;0
Eau minerale Celtic, embouteillee, gazeuse ou non gazeuse, tres faiblement mineralisee (Niederbronn, 67);0;0;0;0
Eau minerale Chambon, embouteillee, non gazeuse, faiblement mineralisee (Chambon, 45);0;0;0;0
Eau minerale Chantemerle, embouteillee, non gazeuse, faiblement mineralisee (Le Pestrin, 07);0;0;0;0
Eau minerale Chateauneuf, embouteillee, gazeuse, fortement mineralisee (Chateauneuf, 63);0;0;0;0
Eau minerale Chateldon, embouteillee, gazeuse, fortement mineralisee (Chateldon, 63);0;0;0;0
Eau minerale Clos de l'Abbaye, embouteillee, non gazeuse, moyennement mineralisee (St-Amand, 59);0;0;0;0
