alim_nom_fr;Energie (kcal/100 g);Protéines (g/100 g);Glucides (g/100 g);Lipides (g/100 g)
Son d'avoine;325,520;15,8;51;6,48
Cornichon, aigre-doux;28,150;1,25;5;0,35
Soupe à la tomate, déshydratée reconstituée;34,930;0,76;5,79;0,97
Panaché (limonade et bière);22,520;0;5,63;0
Oignon rouge, cru;31,360;1,31;5,63;0,4
Haricot vert, surgelé, cuit;29,910;1,95;5,1;0,19
Boisson à l'amande, nature, non sucrée, non enrichie, préemballée;35,760;1,06;0,68;3,2
Chou blanc, cru;29,440;1,38;4,63;0,6
Poivron rouge, cru;28,160;1,06;5,98;0,000
Sauge, fraîche;19,880;4;0,97;0,000
Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux;322,980;11,5;59,3;4,42
Cake aux fruits, préemballé;350,960;4,19;55,2;12,6
Pomme de terre, flocons déshydratés, nature;340,700;8,04;76,1;0,46
Farine de maïs;356,220;6,23;78,1;2,1
Lait en poudre, écrémé;363,500;35,3;54;0,7
Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;343,360;9,19;65,4;5
Amidon de maïs ou fécule de maïs;360,770;0,43;89,2;0,25
Beignet fourré aux fruits, préemballé;357,000;5,65;47,6;16
Pâté breton;361,520;11;2,88;34
Rillettes d'oie;364,160;14,9;0,99;33,4
Canard, magret fumé;364,300;21,9;0,55;30,5
Gâteau au chocolat, coeur fondant, préemballé (rayon frais);357,940;6,86;41,9;18,1
Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC);366,300;22,5;0,000;30,7
Tomme ou tome de montagne ou de Savoie;364,300;25,6;0,000;29,1
Graine de couscous (semoule de blé dur précuite), crue;351,850;12;72,7;1,45
Vermicelle de riz, sèche;360,760;7,44;80,5;1
Agneau, collier, braisé ou bouilli;364,800;33,6;0,000;25,6
Oie, viande et peau, crue;365,200;15,7;0;33,6
Fourme de Montbrison;367,200;22,5;0,000;30,8
Mimolette demi-vieille;368,100;31,5;0,000;26,9
Saucisson sec pur porc, qualité supérieure;365,800;27,7;1,65;27,6
Spécialité fromagère non affinée à tartiner environ 30-40 % MG aromatisée (ex: ail et fines herbes);365,300;7,66;4,24;35,3
Brioche pur beurre, préemballée;364,400;8;51,6;14
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux;365,160;1,44;3;38,6
Flocon d'avoine;343,390;13,3;57,9;6,51
Emmental ou emmenthal râpé;369,800;28,1;0,000;28,6
Pâte feuilletée pur beurre, crue;362,100;5,6;39,7;20,1
Agneau, côtelette, crue;368,100;14,4;0;34,5
Beurre ou assimilé allégé (léger ou à teneur reduite en matière grasse), doux (aliment moyen);366,340;0,33;3,73;38,9
Amarante, crue;351,580;13,5;58,6;7,02
Pain au lait aux pépites de chocolat, préemballé;363,540;8,51;52;13,5
Muesli floconneux aux fruits ou fruits secs (non enrichi en vitamines et minéraux);346,900;9,5;61,7;6,9
Soupe aux poireaux et pommes de terre, préemballée à réchauffer;34,590;0,79;4,46;1,51
Boisson gazeuse, sans jus de fruit, sucrée;35,942;0,14;8,67;0,078
Boisson au soja, nature, non enrichie, préemballée;34,670;3,31;0,7;2,07
Soupe (aliment moyen);35,410;1,27;4,5;1,37
Cidre doux;20,360;0,000;5,09;0,000
Brocoli, cuit à la vapeur;32,940;4,13;2,53;0,7
Soupe à la tomate et aux vermicelles, préemballée à réchauffer;35,080;1,1;5,87;0,8
Soupe aux champignons, déshydratée reconstituée;36,190;0,65;4,37;1,79
Oignon jaune, cru;30,320;1,19;6,39;0,000
Flocon d'avoine précuit;345,300;11;58;7,7
Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel;370,400;1,5;5,6;38
Sauce pesto, préemballée;360,760;3,94;6,6;35,4
Pomme de terre, flocons déshydratés, au lait ou à la crème;355,730;10,6;69,4;3,97
Pâtes ou nouilles asiatiques au blé et aux oeufs, crues, nature;358,600;11,9;71;3
Chewing-gum, sucré;365,280;0,000;90,6;0,32
Emmental ou emmenthal;370,800;27,9;0,000;28,8
Croûton à tartiner;354,850;12,3;70;2,85
Chapelure;360,330;11,6;70;3,77
Saucisse de foie;373,500;11,7;0,9;35,9
Gouda;376,300;23,2;0,000;31,5
Brioche, de boulangerie traditionnelle;368,340;9,81;49,2;14,7
Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;367,550;5,77;84,7;0,63
Croissant, sans précision;368,200;6,65;40,4;20
Germe de blé;334,700;27,2;35,1;9,5
Fromage à pâte molle triple crème environ 40% MG;377,060;9,89;0,000;37,5
Poudre cacaotée ou au chocolat sucrée pour boisson, enrichie en vitamines et minéraux;363,280;4,68;79,3;3,04
Poivre de Cayenne ou piment de Cayenne;321,300;12;29,4;17,3
Pâte brisée, crue;371,300;5,35;43,6;19,5
Pâte feuilletée, matière grasse végétale, crue;370,840;5,41;41,4;20,4
Rillettes de canard;376,720;15,3;1,03;34,6
Pétales de maïs natures, enrichis en vitamines et minéraux;370,230;7,4;83,2;0,87
Barre céréalière aux fruits;379,590;5,49;73,5;7,07
Avoine, crue;352,500;16,9;55,7;6,9
Feuille de brick, cuite à sec sans matière grasse;370,080;6,16;82,4;1,76
Cantal, Salers ou Laguiole;380,200;25,3;0,000;31
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux";369,260;10,5;77,9;1,74
"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)";369,400;10,5;78,7;1,4
Blé khorasan complet soufflé;366,360;6,68;80,5;1,96
Beignet à la confiture;376,140;6,36;45,6;18,7
Sandwich baguette, salami, beurre;375,400;12,5;33,2;21,4
Tartine craquante, extrudée et grillée;366,810;9,97;73,7;3,57
Biscuit apéritif, mini bretzel ou sticks;370,570;11,2;74,4;3,13
Poudre cacaotée ou au chocolat pour boisson, sucrée;358,610;6,65;75,6;3,29
"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)";372,450;11,3;79;1,25
Pétales de maïs glacés au sucre (non enrichis en vitamines et minéraux);375,000;4,4;88;0,6
"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux";374,490;6,13;72,8;6,53
Potimarron, pulpe, bouilli/cuit à l'eau;34,460;1,06;6,88;0,3
Soupe au potiron, déshydratée reconstituée;36,760;0,79;5,61;1,24
Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse;41,280;4,44;4,53;0,6
Pizza, sauce garniture pour;27,850;2,12;3,2;0,73
Soupe pour bébé légumes et pomme de terre;35,710;1;5,88;0,91
Fraise, crue;26,640;0,63;6,03;0,000
Soupe à la tomate, préemballée à réchauffer;36,950;0,74;6,27;0,99
Pastèque, pulpe, crue;36,080;0,69;8,33;0,000
Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG;31,720;4,21;3,72;0,000
Rosette ou Fuseau;380,260;24,2;1,79;30,7
Viennoiserie (aliment moyen);373,280;7,77;49,1;16,2
Pétales de maïs natures (non enrichis en vitamines et minéraux);373,210;8,14;82,8;1,05
Pâtes sèches, aux oeufs, crues;370,480;14;68;4,72
Fontina;382,300;25,6;0,000;31,1
Tome des Bauges;383,600;26,6;0,000;30,8
Chouquette;368,840;7,76;42,6;18,6
Pain au lait, artisanal;375,200;8,55;50,6;15,4
"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux";374,850;11,4;78,6;1,65
Muesli floconneux ou de type traditionnel;359,870;10,6;68,5;4,83
Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux;375,040;7,06;79,5;3,2
Sandwich baguette, saucisson, beurre;377,200;13,7;32;21,6
Pâte sablée pur beurre, crue;380,400;5,95;53,6;15,8
Cantal entre-deux;380,900;26,6;0,000;30,5
Pâte brisée, pur beurre, crue;378,180;5,77;44,9;19,5
Crottin de chèvre, au lait cru;386,200;23,2;0,000;32,6
Roquefort;383,100;19,5;0,000;33,9
Fromage de brebis à pâte pressée;386,300;23,9;0,000;32,3
Biscuit sec type tuile, aux fruits;395,840;5,43;74,9;8,28
Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;379,400;5,5;85,3;1,8
Galette de riz soufflé complet;378,280;7,32;80,5;3
Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux;372,170;8,82;75,2;4,01
Céréales complètes soufflées, enrichies en vitamines et minéraux;371,530;7,42;76,8;3,85
Poudre cacaotée ou au chocolat pour boisson, sucrée, enrichie en vitamines;375,520;4,29;85;2,04
Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux;359,550;10,7;64;6,75
Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux);375,690;7,73;79,6;2,93
Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux;369,500;10,3;67,9;6,3
Barre céréalière diététique hypocalorique;385,600;5,9;65,3;11,2
Pâte brisée, pur beurre, surgelée, crue;382,100;5,65;43,3;20,7
Mimolette extra-vieille;389,400;33,9;0,000;28,2
Cacao, non sucré, poudre soluble;321,400;22,4;11,6;20,6
Salers;386,200;25,9;0,000;31,4
Pétales de blé chocolatés, enrichis en vitamines et minéraux;376,120;9,04;77,7;3,24
Pétales de blé chocolatés (non enrichis en vitamines et minéraux);378,080;8,48;80,1;2,64
Riz soufflé chocolaté (non enrichi en vitamines et minéraux);380,640;6,01;84,2;2,2
Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen);378,880;8,23;79,2;3,24
Mélange apéritif de fruits exotiques, sec;381,260;2,19;69,5;10,5
Soupe aux légumes variés, préemballée à réchauffer;37,280;0,76;5,05;1,56
Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG;36,256;4,82;4,1;0,064
Pomelo (dit Pamplemousse), pulpe, cru;32,080;0,000;8,02;0,000
Cerfeuil, frais;34,800;3,72;3,63;0,6
Rillettes traditionnelles de porc;390,100;14,3;0,2;36,9
Fromage à pâte pressée cuite (aliment moyen);389,200;28;0;30,8
Riz soufflé chocolaté, enrichi en vitamines et minéraux;383,060;6,22;83,2;2,82
Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;380,600;8;82,2;2,2
Riz soufflé nature, enrichi en vitamines et minéraux;388,140;6,66;87;1,5
Beurre à 39-41% MG, léger, doux;389,700;0,000;3,6;41,7
Céréales instantanées, poudre à reconstituer, dès 6 mois;382,400;10;81,1;2
Multi-céréales soufflées ou extrudées, enrichies en vitamines et minéraux;385,590;7,39;79,4;4,27
Biscotte complète ou riche en fibres;370,330;11,7;67;6,17
Abondance;392,800;27,1;0,000;31,6
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux);388,790;5,71;86,2;2,35
Céréales instantanées, poudre à reconstituer, dès 4/6 mois;388,900;5,1;88,3;1,7
Galette multicéréales soufflée;385,820;8,43;82,4;2,5
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux";378,700;7,5;73,9;5,9
"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux";382,010;8,91;75,5;4,93
Mousse de canard;393,580;10,1;7,07;36,1
Pain grillé suédois aux graines de lin;374,200;10,3;63;9
Gruyère IGP France;397,200;27,3;0,000;32
Grana Padano;399,200;34,1;0,000;29,2
Poudre cacaotée pour bébé;391,100;8,5;85;1,9
Saucisse de Morteau;397,400;16;1;36,6
Mimolette vieille;395,200;34;0,000;28,8
Fromage de brebis des Pyrénées;398,800;24,1;0,000;33,6
Café, moulu;357,000;14,4;40,2;15,4
Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG;397,260;1,69;5,6;40,9
Biscotte multicéréale;378,980;11,8;66,7;7,22
Pain grillé suédois au blé complet;379,600;10,5;66,4;8
Pâte feuilletée pur beurre, surgelée crue;393,360;4,99;35,3;25,8
Céréales pour petit déjeuner (aliment moyen);387,040;7,78;75,3;6,08
Son de riz;356,100;13,9;28,1;20,9
Gougère;395,000;16,2;22,7;26,6
Cheddar;400,200;24;0,000;33,8
Café décaféiné, non instantané, non sucré, prêt à boire;4,420;0,1;0,6;0,18
Bouillon de viande et légumes type pot-au-feu, prêt à consommer;4,800;0,2;0,1;0,4
Papaye Colombo (fruit mûr), pulpe sans pépin, crue, prélevée à La Réunion (Carica papaya L.);33,760;0,56;7,88;0,000
Carotte, crue;32,880;0,63;7,59;0,000
Oignon blanc ou jaune, sauté/poêlé sans matière grasse;33,160;1,56;6,73;0,000
Citron vert ou Lime, pulpe, cru;17,080;1,13;3,14;0,000
Soupe à l'oignon, préemballée à réchauffer;37,720;1,35;4,93;1,4
Macédoine de légumes, appertisée, égouttée;34,160;2,32;5,59;0,28
Jus de pamplemousse (pomélo), à base de concentré;36,620;0,52;8,41;0,1
Fond de veau, préemballé;40,650;3,15;2,4;2,05
Pâte feuilletée, surgelée, crue;392,920;3,28;33,3;27,4
Salami pur porc;400,100;22,6;1,6;33,7
Muesli floconneux aux fruits ou fruits secs, sans sucres ajoutés;388,200;10,7;61,6;11
Pain grillé suédois aux fruits;387,120;7,98;70,8;8
Brioche, sans précision;401,100;11,3;46;19,1
Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen);390,970;7,51;75;6,77
Muesli non enrichi en vitamines et minéraux (aliment moyen);384,000;9,2;60,7;11,6
Pain grillé suédois au froment;383,810;8,89;68,5;8,25
Café au lait ou cappuccino au chocolat, poudre soluble;395,370;11,2;67,1;9,13
Pain grillé, tranches, au froment;392,080;9,76;74,4;6,16
Pâte sablée, crue;401,600;5,3;51;19,6
Beignet rond moelleux, sans fourrage, saupoudré de sucre;399,900;7,25;39,4;23,7
Biscotte sans adjonction de sel;390,520;10,4;74;5,88
Parmesan;403,400;31,1;0,000;31
Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;394,220;8,13;70,4;8,9
Biscotte classique;398,700;9,8;76,6;5,9
Biscuit apéritif soufflé, à base de pomme de terre et de soja;386,770;17,4;58,3;9,33
Carotte, cuite à la vapeur;34,540;0,63;7,33;0,3
Petit pot légumes, avec féculent, dès 4/6 mois;38,200;1,3;6,45;0,8
Cola, sucré;41,730;0,093;10,2;0,062
Biscuit apéritif, crackers, nature, allégé en matière grasse;402,490;6,53;73,1;9,33
Beaufort;412,000;26,5;0,000;34
"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)";402,690;10,3;74,6;7,01
Croissant ordinaire, artisanal;405,620;6,33;47,6;21,1
Rillettes pur porc;412,020;16,7;0,13;38,3
Café au lait ou cappuccino, poudre soluble;408,400;12,2;70,1;8,8
Biscotte briochée;403,120;10,9;69;9,28
Pop-corn ou Maïs éclaté, à l'air, non salé;391,500;10,2;60;12,3
Saucisson sec pur porc;412,660;28,7;1,79;32,3
Rillettes pur oie;417,000;14,7;0,000;39,8
Pop-corn ou Maïs éclaté, au caramel;412,100;3;85,4;6,5
Saucisson sec;416,940;24,2;2,41;34,5
Comté;420,200;27,2;0,000;34,6
Muesli (aliment moyen);406,160;7,49;66,6;12,2
"Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux";413,660;5,99;72,9;10,9
Pain grillé brioché, tranché, préemballé;408,310;10,6;70,8;9,19
Pain grillé, tranches, multicéréale;403,300;11,1;68,8;9,3
Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux;412,180;8,42;64,7;13,3
Dessert au soja, nature, non sucré, enrichi en calcium, fermenté, préemballé;37,660;3,59;1,1;2,1
Papaye, pulpe, crue;37,120;0,75;8,53;0,000
Oignon rouge, sauté/poêlé sans matière grasse;36,960;1,69;7,55;0,000
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, 0% MG (aliment moyen);38,010;4,29;4,92;0,13
Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, avec édulcorants (aliment moyen);38,010;4,29;4,92;0,13
Jus de pamplemousse (pomelo), pur jus;38,267;0,49;8,89;0,083
Boisson à base d'avoine, nature, préemballée;41,100;0,000;7,8;1,1
Soupe de poissons et / ou crustacés, préemballée à réchauffer;41,430;3,45;2,88;1,79
Betterave rouge, cuite;37,880;1,44;7,13;0,4
Boisson au soja, aromatisée, sucrée, enrichie en calcium, préemballée;39,800;3,01;2,89;1,8
Plat légumes, avec féculent, dès 6-8 mois;38,700;1,2;6,9;0,7
Rillettes du Mans;419,600;15,6;4,7;37,6
Croissant au beurre, artisanal;412,640;6,61;45,7;22,6
Beignet fourré goût chocolat, préemballé;415,340;7,31;45,9;22,5
Pâte sablée pur beurre, surgelée, crue;420,700;4,9;60,9;17,5
Gruyère;425,000;28,4;0,000;34,6
Pain au chocolat feuilleté, artisanal;413,980;7,47;45,4;22,5
Muesli enrichi en vitamines et minéraux (aliment moyen);412,240;6,96;67,3;12,8
Pain au chocolat, préemballé;415,500;6,9;46,8;22,3
Cumin, graine;406,700;17,8;33,7;22,3
Ossau-Iraty;429,800;24,2;0,000;37
Persil, frais;34,430;3,71;3,48;0,63
Légume cuit (aliment moyen);34,380;2,11;5,81;0,3
Cola, sucré, sans caféine;44,000;0,000;11;0,000
Pâte d'amande, préemballée;425,900;5,8;70,3;13,5
Soja, graine entière;394,000;34,5;20,8;19,2
Gressin;418,200;12,7;65,3;11,8
Chorizo;431,100;23,5;3,05;36,1
Foie de morue, appertisé, égoutté;433,000;7,25;1,1;44,4
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux;425,040;7,81;69,2;13
Muesli croustillant aux fruits et/ou fruits secs, graines (non enrichi en vitamines et minéraux);424,620;8,88;59,7;16,7
Biscuit pour bébé;433,900;7,5;73,3;12,3
Estragon, frais;31,600;3,8;4,1;0,000
Lait à 1,2% de matière grasse, UHT, enrichi en plusieurs vitamines;43,930;3,38;4,79;1,25
Boisson au soja, nature, enrichie en calcium, préemballée;40,850;3,42;2,18;2,05
Carotte, purée cuisinée à la crème, préemballée;38,440;1,44;4,57;1,6
Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose;44,170;3,45;4,69;1,29
Boisson à l'amande, sucrée, enrichie en calcium, préemballée;43,800;0,69;3,96;2,8
Dessert au soja, nature, non sucré, non enrichi, fermenté, préemballé;40,340;3,76;2,05;1,9
Potimarron, pulpe, cuit à l'étouffée;37,940;1,31;7,05;0,5
Fromage de chèvre sec;442,400;30,5;0,000;35,6
Calissons d'Aix en Provence;434,720;7,88;60,3;18
Spécialité végétale type fromage, à la noix de cajou, préemballée;436,500;14,5;15,2;35,3
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes;431,320;7,33;67,2;14,8
Muesli croustillant au chocolat (non enrichi en vitamines et minéraux);437,380;8,57;63,2;16,7
Barre céréalière aux amandes ou noisettes;440,960;8,69;60,6;18,2
Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux;441,860;7,44;67,7;15,7
Croissant aux amandes, artisanal;435,980;7,62;35,9;29,1
Chou de Bruxelles, bouilli/cuit à l'eau;34,360;3,19;5,4;0,000
Jus d'orange, pur jus;41,870;0,61;9,61;0,11
Orange, pulpe, crue;35,120;0,75;8,03;0,000
Yaourt, lait fermenté ou spécialité laitière, nature;39,940;3,96;2,65;1,5
Sauce soja, préemballée;43,780;7,08;3,64;0,1
Jus d'orange, à base de concentré;42,050;0,63;9,59;0,13
Lait de chèvre, demi-écrémé, UHT;45,730;3,77;4,13;1,57
Abricot, dénoyauté, cru;39,280;0,81;9,01;0,000
Crackers de table au froment;439,000;7,75;75;12
Saucisse sèche;449,900;27,3;1,7;37,1
Salami;451,200;17,7;1,05;41,8
Muesli croustillant au chocolat, avec ou sans fruits, enrichi en vitamines et minéraux;437,620;9,13;62,7;16,7
Barre céréalière chocolatée;452,300;6,55;73;14,9
Gaufre fine fourrée au miel, préemballée;450,940;4,56;67;18,3
Fromage de brebis Corse à pâte molle;459,600;28,5;0,000;38,4
Brownie au chocolat, préemballé;454,760;5,94;50,6;25,4
Pâté de foie d'oie;458,480;11,4;4,67;43,8
Salami type danois;459,500;17;1,35;42,9
Lait en poudre, demi-écrémé;457,100;31,5;43,4;17,5
Pêche blanche, pulpe, crue;41,040;0,63;9,63;0,000
Pêche jaune, pulpe, crue;41,960;0,69;9,8;0,000
Lait demi-écrémé, pasteurisé;46,220;3,19;4,9;1,54
Légumes pour couscous, surgelés, crus;41,500;2,05;6,75;0,7
Lait demi-écrémé, UHT, enrichi en vitamine D seulement;46,400;3,38;4,8;1,52
Boisson gazeuse aux fruits (de 10 à 50% de jus), sucrée;45,720;0,067;11,3;0,028
Boisson gazeuse aux fruits (teneur en jus non spécifiée), sucrée (aliment moyen);45,342;0,068;11,2;0,03
Jus de fruits, pur jus (aliment moyen);40,580;0,51;9,32;0,14
Farine de soja;427,400;35,8;22,9;21,4
Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;451,980;5,67;68,4;17,3
Chips de pommes de terre et assimilés nature ou aromatisées, allégées en matière grasse;452,920;6,58;62,1;19,8
Pâte sablée pur beurre, cuite;464,900;6,2;63;20,9
Lait demi-écrémé, UHT;46,790;3,38;4,83;1,55
Jus de fruits (aliment moyen);41,660;0,52;9,58;0,14
Tomate, purée, appertisée;39,360;1,4;7,54;0,4
Jus de fruits, à base de concentré (aliment moyen);45,330;0,54;10,5;0,13
Pêche blanche, pulpe et peau, crue;40,680;0,69;9,48;0,000
Artichaut, cuit à la vapeur sous pression;23,480;2,63;3,24;0,000
Clémentine ou Mandarine, pulpe, crue;39,920;0,81;9,17;0,000
Mûre (de ronce), crue;36,940;1,13;6,53;0,7
Oeuf, blanc (blanc d'oeuf), cuit;47,210;10,3;1,12;0,17
Lait, teneur en matière grasse inconnue, UHT (aliment moyen);47,110;3,38;4,82;1,59
Boisson au jus de fruit et au lait;43,460;0,56;9,63;0,3
Soupe aux céréales et aux légumes, déshydratée reconstituée;45,400;1,4;6,8;1,4
Biscuit sec ou tuile, aux amandes;466,100;7,8;68;18,1
Porc, gorge, découennée, crue;474,460;11,6;0,14;47,5
Barre à la noix de coco, enrobée de chocolat;470,520;3,88;60,2;23,8
Chorizo supérieur, doux ou fort, type saucisse sèche;471,100;20,9;2,6;41,9
Saucisson sec aux noix et/ou noisettes;475,220;27,7;1,78;39,7
Foie gras, canard, bloc, 50% de morceaux;479,060;6,39;2;49,5
Cidre bouché demi-sec;17,600;0,000;4,4;0,000
Oeuf, blanc (blanc d'oeuf), cru;48,310;10,8;0,85;0,19
Soupe aux champignons, préemballée à réchauffer;47,230;0,81;4,09;3,07
Aneth, frais;41,220;3,93;3,9;1,1
Jus de pomme, à base de concentré;47,042;0,24;11,3;0,098
Soupe minestrone, préemballée à réchauffer;45,200;1,2;5,6;2
Jus multifruit, pur jus, standard;44,800;0,000;11,2;0,000
Jus de pomme, pur jus;47,540;0,17;11,4;0,14
Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel;481,000;0,4;0,6;53
Foie gras, canard, bloc, sans morceaux;481,400;5,75;2,1;50
Biscuit apéritif soufflé, à base de pomme de terre;475,900;4,25;60,5;24,1
Lait 2e âge, poudre soluble (préparation de suite);480,400;11,6;56,3;23,2
Pop-corn ou Maïs éclaté, à l'huile, salé;468,600;11;52,6;23,8
Biscuit apéritif (aliment moyen);478,700;9,2;60,3;22,3
Biscuit apéritif soufflé, à base de maïs, à la cacahuète;478,500;13,3;54,8;22,9
Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette;551,200;5,75;54,2;34,6
Biscuit apéritif soufflé, à base de maïs, sans cacahuète;483,240;6,96;62,1;23
Foie gras, canard, bloc, 30% de morceaux;488,140;6,88;2,43;50,1
Foie gras, canard, bloc (aliment moyen);488,140;6,88;2,43;50,1
Petits pois et carottes, appertisés, égouttés;42,570;2,51;7,39;0,33
Sel au céleri;46,570;1,81;4,14;2,53
Framboise, crue;35,280;1,19;5,83;0,8
Fromage blanc nature, 0% MG;47,756;7,95;3,89;0,044
Herbes aromatiques fraîches (aliment moyen);38,120;3,58;4,15;0,8
Nectar multifruit, standard;48,001;0,3;11,5;0,089
Matière grasse mélangée (végétale et laitière) à 50-63% MG;490,000;0,4;0,6;54
Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3;491,312;0,083;0,12;54,5
Croûton à l'ail aux fines herbes ou aux oignons, préemballé;487,740;8,81;58,9;24,1
Barre chocolatée aux fruits secs;493,320;7,23;57,6;26
Croûtons nature, préemballés;486,820;8,38;59,1;24,1
Chips de maïs ou tortilla chips;486,540;6,56;59,5;24,7
Barre chocolatée non biscuitée enrobée;497,300;3,7;66,4;24,1
Lait 1er âge, poudre soluble (préparation pour nourrissons);491,300;10,9;55;25,3
Pâte brisée, pur beurre, cuite;489,820;7,58;61,1;23,9
Biscuit apéritif, crackers, nature;493,100;10,5;59;23,9
Lait en poudre, entier;500,800;27,4;37,5;26,8
Cacahuètes enrobées de chocolat dragéifiées;486,600;9,5;55,9;25
Thé vert, infusé, non sucré;4,360;0;1,09;0
Bouillon de légumes, déshydraté reconstitué;5,400;0,34;0,65;0,16
Bouillon de volaille, déshydraté reconstitué;5,570;0,6;0,5;0,13
Lait de jument, entier;49,930;2,41;6,18;1,73
Soupe aux légumes avec fromage, préemballée à réchauffer;48,310;1,34;5,09;2,51
Crosne, cuit;44,960;2,13;9,11;0,000
Pâte brisée, matière grasse végétale, cuite;500,680;7,47;58,3;26,4
Pâte sablée, cuite;501,800;5,7;64,4;24,6
Confiserie au chocolat dragéifiée;500,660;5,49;65;24,3
Noix de muscade;461,900;5,3;28,5;36,3
Chips de crevette;506,600;3,1;63,7;26,6
Biscuit apéritif feuilleté;502,500;12,3;53,7;26,5
Pâte feuilletée pur beurre, cuite;504,740;4,61;57;28,7
Nectarine ou brugnon, jaune, pulpe et peau, crue;47,960;0,69;11,3;0,000
Pomme Granny Smith, pulpe et peau, crue;42,800;0,000;10,7;0,000
Nectarine ou brugnon, blanche, pulpe et peau, crue;48,840;0,81;11,4;0,000
Pomme Chantecler, pulpe, crue;44,800;0,000;11,2;0,000
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté);506,000;5,5;59,8;27,2
Florentin (biscuit sec sucré chocolaté aux amandes);498,340;9,31;50,7;28,7
Cacahuètes (arachide) enrobées d'un biscuit, pour apéritif;512,100;15,8;45,4;29,7
Jus d'ananas, à base de concentré;50,104;0,41;11,9;0,096
Boisson lactée aromatisée à la fraise, sucrée, au lait partiellement écrémé, enrichie à la vitamine D;52,730;2,17;10;0,45
Jus d'ananas, pur jus;50,706;0,41;12,1;0,074
Biscuit apéritif à base de pomme de terre, type tuile salée;514,120;4,63;59,1;28,8
Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3;521,520;0,15;0,18;57,8
Rillettes de Tours;522,000;18;0,000;50
Barre chocolatée biscuitée;519,460;6,14;60,5;28,1
Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel;522,800;0,2;0,000;58
Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette;551,020;8,48;34,1;42,3
Poire Conférence, pulpe, crue;45,600;0,000;11,4;0,000
Mousse aux fruits, rayon frais;47,040;6,25;5,51;0,000
Huître plate, crue;53,540;10,2;1,16;0,9
Boisson au riz, nature, préemballée;52,200;0,000;10,8;1
Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard);53,140;3,74;5,9;1,62
Pomme Granny Smith, pulpe, crue;45,600;0,000;11,4;0,000
Pâte feuilletée, cuite;524,160;7,19;54,1;31
Barre chocolat au lait avec nougat;526,200;5,8;60,5;29
